id,gender,age,breakfast,lunch,dinner,expend,frequency
1C14710803,2,31,0,1,0,3,3
1C22610201,2,60,0,0,0,,3
1C22610202,1,63,0,0,0,,3
1C22610203,1,32,0,0,0,3,3
1C22610301,2,67,0,0,0,,
1C22610501,2,44,0,0,0,3,3
1C22610502,1,49,0,0,0,,3
1C22610503,1,19,0,0,0,,3
1C22610601,2,64,0,0,0,,
1C22610602,1,35,0,0,0,,
1C22610801,2,65,0,0,0,,
1C22610802,1,68,0,0,0,3,
1C22610901,2,50,0,0,0,3,3
1C22610902,2,19,0,0,0,,3
1C22611001,2,62,0,0,0,3,
1C22611002,1,65,0,0,0,3,
1C22710101,2,67,0,0,0,,
1C22710102,1,72,0,0,0,3,
1C22710201,1,72,0,0,0,3,
1C22710401,2,73,0,0,0,,
1C22910101,2,74,0,0,0,,
1C22910301,2,73,0,0,0,,
1C22910501,2,74,0,0,0,,
1C23010201,2,53,0,0,0,,
1C23010202,1,55,0,0,0,,
1C23010203,1,21,0,0,0,,
1C23110101,2,53,0,0,0,4,4
1C23110102,1,56,0,0,0,3,4
1C23110103,1,27,0,0,0,3,4
1C23110104,2,25,0,0,0,3,4
1C23110201,2,56,0,0,0,3,3
1C23110202,1,59,0,0,0,4,3
1C23110301,2,45,0,0,0,3,4
1C23110302,1,48,0,0,0,3,4
1C23110501,2,54,0,0,0,4,3
1C23110502,1,57,0,0,0,3,3
1C23110504,2,22,0,0,0,3,3
1C23110601,2,61,0,0,0,3,3
1C23110602,1,63,0,0,0,3,3
1C23110701,2,45,0,0,0,3,3
1C23110702,1,47,0,0,0,3,3
1C23110801,2,54,0,0,0,3,3
1C23110802,1,58,0,0,0,3,3
1C23110804,2,25,0,0,0,3,3
1C23111001,2,57,0,0,0,3,3
1C23111002,1,58,0,0,0,3,3
1C23210301,2,65,0,0,0,3,3
1C23210701,2,45,0,0,0,3,4
1C23210702,1,47,0,0,0,3,4
1C23210801,1,56,0,0,0,3,3
1C23310101,2,55,0,0,0,3,
1C23310102,1,58,0,0,0,3,
1C23310103,1,22,0,0,0,3,
1C23510201,2,49,0,0,0,3,3
1C23510202,1,49,0,0,0,3,3
1C23510401,2,47,0,0,0,3,3
1C23510402,1,49,0,0,0,3,3
1C23510403,1,19,0,0,0,3,3
1C23510501,2,69,0,0,0,4,
1C23510701,2,50,0,0,0,3,
1C23510702,1,50,0,0,0,3,
1C23810301,2,47,0,0,0,4,4
1C23810302,1,50,0,0,0,2,4
1C23810303,1,19,0,0,0,4,4
1C23810501,2,53,0,0,0,3,3
1C23810502,1,54,0,0,0,2,3
1C23810503,1,20,0,0,0,4,3
1C24010101,2,53,0,0,0,4,3
1C24010102,1,56,0,0,0,3,3
1C24010103,1,21,0,0,0,3,3
1D09710201,2,70,0,0,0,,
1D09710301,2,58,0,0,0,,6
1D09710302,1,57,0,0,0,0,6
1D09710303,1,25,0,0,0,0,6
1D09710401,2,73,0,0,0,,
1D09710601,2,56,0,0,0,,
1D09710602,1,59,0,0,0,,
1D09710603,2,29,0,0,0,3,
1D09710604,2,28,0,0,0,,
1D09710801,2,47,0,0,0,,6
1D09710802,1,47,0,0,0,,6
1D09710804,2,21,0,0,0,3,6
1D09710901,2,44,0,0,0,,6
1D09710902,1,44,0,0,0,,6
1D09910201,2,68,0,0,0,0,6
1D09910202,1,74,0,0,0,0,6
1D10310101,2,45,0,0,0,3,6
1D10310102,1,53,0,0,0,3,6
1D10410201,2,66,0,0,0,,
1D10410202,1,70,0,0,0,0,
1D10410301,2,60,0,0,0,3,6
1D10410302,1,28,0,0,0,3,6
1D10510101,2,70,0,0,0,3,
1D10510102,1,72,0,0,0,3,
1D10510103,2,40,0,0,0,3,
1D10510401,2,49,0,0,0,3,3
1D10510402,1,55,0,0,0,3,3
1D10510403,2,24,0,0,0,3,3
1D10510404,2,19,0,0,0,3,3
1D10510501,2,69,0,0,0,3,
1D10710301,1,66,0,0,0,2,2
